,Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Link,User Location,Tweet Coordinates,Retweet Count,Retweeted,Favorited,Replied
21,birpendfeui,BiroPendidikan FEBUI,2019-11-21 06:52:08,"Ralat [ECFE] APEB dosen Paksi CKW kuliah pengganti akan diberikan hari Kamis, 21/11 jam 16.30 R. B.105",twitter.com/i/web/status/1197407327558631424,"Depok, West Java",,0,False,False,1197405347599667200
22,birpendfeui,BiroPendidikan FEBUI,2019-11-21 06:51:07,"[ECMU] PraktikumRiset Pemasaran dosen Tengku Ezni Balqiah kuliah pengganti akan diberikan hari Selasa, 26/11 jam 08.00 R. B.109",twitter.com/i/web/status/1197407070909157376,"Depok, West Java",,0,False,False,
23,birpendfeui,BiroPendidikan FEBUI,2019-11-21 06:47:34,"[ECEU] ekonomi Industri &amp; Regulasi dosen TM. Zakir Machmud kuliah pengganti akan diberikan hari Senin, 25/11 jam 16.30 R. A.108",twitter.com/i/web/status/1197406177979588608,"Depok, West Java",,0,False,False,
24,birpendfeui,BiroPendidikan FEBUI,2019-11-21 06:44:56,"[ECEU] Mikroekonomi dosen Widyono Soetjipto kuliah hari Kamis, 21/11 DITIADAKAN",twitter.com/i/web/status/1197405518534307840,"Depok, West Java",,0,False,False,
25,birpendfeui,BiroPendidikan FEBUI,2019-11-21 06:44:16,"[ECFE] APEB dosen Paksi CKW kuliah hari hari Kamis, 21/11 jam 16.30 R. B.109",twitter.com/i/web/status/1197405347599667200,"Depok, West Java",,0,False,False,
26,birpendfeui,BiroPendidikan FEBUI,2019-11-21 04:24:03,"[ECMU] Tanggung Jawab Sosial &amp; Etika Bisnis dosen Adi Waskito Kuliah Hari Jum'at, 22/11 DITIADAKAN",twitter.com/i/web/status/1197370063373758466,"Depok, West Java",,0,False,False,
27,birpendfeui,BiroPendidikan FEBUI,2019-11-21 04:13:25,"[ECAUI] Akuntansi Sektor Publik dosen Dyah Setyaningrum kuliah pengganti akan diberikan hari Selasa, 26/11 jam 08.00 R. A.315",twitter.com/i/web/status/1197367386933874689,"Depok, West Java",,0,False,False,
28,birpendfeui,BiroPendidikan FEBUI,2019-11-21 04:11:44,"[ECAU] Akuntansi Sektor Publik dosen Dyah Setyaningrum kuliah pengganti akan diberikan hari Senin, 25/11 jam 11.00 R.A.101",twitter.com/i/web/status/1197366963799937024,"Depok, West Java",,0,False,False,
29,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:52:39,"[ECMU] Manajemen Pemasaran (A) dosen Elevita Yuliati / Hapsari S kuliah pengganti akan diberikan hari Kamis, 28/11 jam 14.00 R. a.305",twitter.com/i/web/status/1197362161372160000,"Depok, West Java",,0,False,False,
30,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:51:22,"ECIE] Sejarah dan sistem Ekonomi Indonesia dosen Femmy Roeslan / Dorodjatun K.Jakti kuliah pengganti akan diberikan hari Kamis, 28/11 jam 08.00 R. A.111",twitter.com/i/web/status/1197361834975621120,"Depok, West Java",,0,False,False,
31,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:50:04,"[ECMU] NPPHI dosen Anya Safira kuliah pengganti akn diberikan hari Selasa, 26/11 jam 11.00 R. B.110",twitter.com/i/web/status/1197361510122606594,"Depok, West Java",,0,False,False,
32,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:49:09,"[ECIE] EZW (A) dosen Banu Muhammad kuliah pengganti akan diberikan hari Senin, 25/11 jam 11.00 R. B.104",twitter.com/i/web/status/1197361280778039296,"Depok, West Java",,0,False,False,
33,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:48:10,"[ECMU] Pengantar Manajemen Stratejik dosen Eri susanto kuliah pengganti akan diberikan hari Senin, 25/11 jam 11.00 R. B.103",twitter.com/i/web/status/1197361032101941248,"Depok, West Java",,0,False,False,
34,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:47:12,"[ECEU] Pengantar Ekonomi 1 (I) dosen Hera S / Moh. Chatib Basri kuiliah pengganti akan diberikan hari Senin, 25/11 jam 17.00 R. A.112",twitter.com/i/web/status/1197360787813089280,"Depok, West Java",,0,False,False,
35,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:09:47,"[ECEU] Pengantar Ekonomi 1 dosen Nining I. susilo / Tirta Hidayat kuliah hari Senin, 25/11 DITIADAKAN diganti hari Selasa, 26/11 jam 14.00 R. A.106",twitter.com/i/web/status/1197351371680276481,"Depok, West Java",,0,False,False,
36,birpendfeui,BiroPendidikan FEBUI,2019-11-21 03:06:22,"[ECAU] akuntansi Keuangan 1 dosen Liany Leo kuliah hari Jumat, 22/11 jam 16.30 DITIADAKAN diganti Jumat, 29/11 jam 16.30 R. A.101",twitter.com/i/web/status/1197350513274015744,"Depok, West Java",,0,False,False,
37,birpendfeui,BiroPendidikan FEBUI,2019-11-21 02:52:26,https://t.co/ZouhaoQS61,twitter.com/i/web/status/1197347004336050176,"Depok, West Java",,0,False,False,
38,birpendfeui,BiroPendidikan FEBUI,2019-11-21 02:49:06,https://t.co/TdtpNh9bdV,twitter.com/i/web/status/1197346166230245377,"Depok, West Java",,0,False,False,
39,birpendfeui,BiroPendidikan FEBUI,2019-11-21 02:47:50,https://t.co/lI5nnnCnDG,twitter.com/i/web/status/1197345849065398272,"Depok, West Java",,0,False,False,
40,birpendfeui,BiroPendidikan FEBUI,2019-11-21 01:17:30,"[ECAU] Pengauditan &amp; Asurans 1 dosen Ahmadi Hadibroto Kuliah Pengganti akan diberikan Hari Kamis,21/11 jam11.00 Ruang A.212",twitter.com/i/web/status/1197323115954458624,"Depok, West Java",,0,False,False,
41,birpendfeui,BiroPendidikan FEBUI,2019-11-20 06:43:35,"[ECEA] Akuntansi Keuangan 1 dosen Aria Farah Mita / Rallyati Kuliah Pengganti akan diberikan Hari kamis,21/11 jam 16.00 -18.30 Ruang.A111",twitter.com/i/web/status/1197042788187004928,"Depok, West Java",,0,False,False,
