name,value
"Kalimantan Timur",-18.17
"Nangro Aceh Darussalam",-2.79
Banten,-4.79
"Kalimantan Selatan",-7.4
"Sulawesi Selatan",9.72
"Nusa Tenggara Barat",3.87
"Sulawesi Tengah",-23.34
"Papua Barat",-3.34
"Kalimantan Barat",-26.76
Gorontalo,-10.27
"Sumatera Utara",2.81
Jambi,-3.17
"Jawa Barat",-5.82
"Jawa Tengah",2.84
"Bangka Belitung",-5.43
"Jawa Timur",-4.73
"DKI Jakarta",-4.04
"Sulawesi Utara",-5.21
"Kepulauan Riau",-4.19
"Sulawesi Barat",-7.46
"Maluku Utara",-6.19
"Sulawesi Tenggara",-20.87
Bengkulu,-25.24
Bali,3.04
Yogyakarta,7.03
"Nusa Tenggara Timur",-12.95
Maluku,-11.36
"Sumatera Selatan",-4.77
"Kalimantan Tengah",-29.31
Papua,-1.07
Riau,6.06
"Sumatera Barat",1.88
Lampung,-10.11
