,pidlink,year,age,sex,single,year_of_schooling,tobacco_habit,lfpr,urban,attended_kindergarten,hh_work_size,change_pce,pce_t,pce_t1,rich_pce,per_change_pce_t,increase_desil_pce_t_relative,change_asset,asset_t,asset_t1,rich_asset,per_change_asset_t,increase_desil_asset_t_relative,NEET,tk01,main_activity
0,003180005,2007,22.0,0,1,12,0.0,0.553483060525314,0.0,0,1.0,0.9697072735831189,1.3307695929076213,0.36106231932450233,0,2.685706100258003,5,1.4568159963619816,3.6637692427320045,2.206953246370023,1,0.6601027904683253,0,1,4,Housekeep
1,004040006,2007,20.0,0,1,9,0.0,0.6935654008438819,0.0,0,1.0,0.6155542390123299,1.0044042363642283,0.38884999735189835,0,1.5830120694465906,3,1.458480225385191,1.5301992069773498,0.07171898159215874,0,20.33604204921743,6,1,4,Housekeep
2,006090004,2007,20.0,0,1,12,0.0,0.5932055749128919,0.0,0,2.0,0.34142698723801845,1.0077815395025167,0.6663545522644982,0,0.5123803627929516,0,0.08449040398451403,0.15620938557667277,0.07171898159215874,0,1.178075902764236,0,1,4,Housekeep
3,006170005,2007,21.0,0,1,9,0.0,0.5932055749128919,0.0,0,2.0,0.30251389003929446,0.50026758727789,0.19775369723859554,0,1.5297508681938965,2,0.0031436752465612144,0.06769077063264776,0.06454709538608655,0,0.04870358964655828,-1,1,4,Housekeep
4,008070006,2007,16.0,0,0,6,0.0,0.5291331122690668,0.0,1,2.0,0.36499211850099367,0.6549076517979695,0.28991553329697584,0,1.258960202477709,3,0.20614651008787693,0.2587404139846018,0.052593903896724845,0,3.919589435548902,1,1,4,Housekeep
5,013150003,2007,18.0,0,1,9,0.0,0.5965957446808511,0.0,0,1.0,-0.23158327705551957,0.30611963996599195,0.5377029170215115,0,-0.43069001436392573,-5,-0.061788044746040716,0.48073032517573566,0.5425183699217764,0,-0.11389115681916853,-3,1,4,Housekeep
6,017050004,2007,23.0,0,1,12,0.0,0.5233285233285233,1.0,1,1.0,0.05660856608260034,0.6385972889804883,0.581988722897888,0,0.09726746216100225,-1,-0.09711616699524217,0.23961667997870073,0.3367328469739429,0,-0.2884071686738574,-3,1,4,Housekeep
7,024050003,2007,21.0,0,0,9,0.0,0.49971214738054115,1.0,0,4.0,0.07584833677184027,0.4857320221267189,0.4098836853548786,0,0.18504844052568362,-1,3.5274451744001487,3.96318081053439,0.43573563613424166,0,8.095379128718799,4,1,4,Housekeep
8,024170007,2007,19.0,0,0,9,0.0,0.49971214738054115,1.0,0,1.0,0.1745745840366183,0.43659549887336996,0.26202091483675166,0,0.6662620201344784,1,-0.16023286885085658,0.01917674507798517,0.17940961392884175,0,-0.8931119427881321,-2,1,4,Housekeep
9,025150008,2007,18.0,0,1,9,0.0,0.49971214738054115,1.0,0,2.0,0.07517146382070283,0.6319781825300435,0.5568067187093406,0,0.13500459188952996,-1,0.07964937724901389,0.10866792380465355,0.029018546555639662,0,2.7447748665252942,0,1,4,Housekeep
10,027070005,2007,20.0,0,0,12,0.0,0.5523710265763419,0.0,0,2.0,-0.06494248206529629,0.741738567638983,0.8066810497042793,0,-0.08050577373684867,-2,0.31367605382156305,0.3398248987060515,0.02614884488448845,0,11.995790070544812,2,1,4,Housekeep
11,027130004,2007,21.0,0,0,9,0.0,0.5523710265763419,0.0,0,3.0,-0.04490214340274329,0.2988822319360827,0.343784375338826,0,-0.13061135590728568,-2,0.6981738080688014,0.7057901320088876,0.007616323940086316,0,91.66808207751849,5,1,4,Housekeep
12,028220005,2007,16.0,0,1,9,0.0,0.5529217199558986,0.0,0,3.0,0.22065259019624067,0.5711151977362915,0.3504626075400508,0,0.6296038020861456,1,0.7512098985522926,0.7765971795880885,0.025387281035795888,0,29.590009953925033,5,1,4,Housekeep
13,033120005,2007,22.0,0,1,12,0.0,0.50103591160221,0.0,1,3.0,0.22235799087116337,0.5132887314705495,0.2909307405993862,0,0.7642987138899564,2,0.12722627097035377,0.33451404197822376,0.20728777100787,0,0.6137664096234767,-1,1,4,Housekeep
14,035060006,2007,21.0,0,1,12,0.0,0.50103591160221,1.0,0,2.0,0.13403834981839297,0.5292317124163715,0.3951933625979785,0,0.33917156132692244,0,-0.7786048165054265,1.820167300275482,2.5987721167809084,1,-0.2996048831976395,-1,1,4,Housekeep
15,039150006,2007,23.0,0,0,12,0.0,0.5664516129032258,1.0,1,3.0,0.17149337603237655,0.3860994509915852,0.21460607495920866,0,0.7991077422434254,1,-0.19117005372864954,0.3292667322576413,0.5204367859862908,0,-0.3673261746214943,-4,1,4,Housekeep
16,039160007,2007,21.0,0,1,12,0.0,0.5664516129032258,1.0,1,2.0,-0.2282492917499519,0.672077912469869,0.9003272042198209,0,-0.2535181550442447,-3,-0.25374605698332064,0.30564350229568404,0.5593895592790047,0,-0.45361242943177754,-4,1,4,Housekeep
17,041140003,2007,20.0,0,0,6,0.0,0.5906902086677368,0.0,0,1.0,-0.23863354786878171,0.19479060458457848,0.4334241524533602,0,-0.5505774113371786,-5,-0.12345245311307651,0.14369281536113937,0.2671452684742159,0,-0.4621173109977495,-2,1,4,Housekeep
18,041270004,2007,17.0,0,1,9,0.0,0.6651685393258427,0.0,0,1.0,0.0224478516779075,0.2713181352275798,0.2488702835496723,0,0.09019900390569173,0,0.43755871171559246,0.4641404501525941,0.0265817384370016,0,16.460876430358436,3,1,4,Housekeep
