level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
1758	0452100	12	3	4	3	3	3	3	3	1	3		18	2	3	045210012	6	470533.79	318681.47	789215.26	1603	MUARA ENIM	632912.28	2	11	5	0452100		5	7	3	3		3415	3	30	5			3	D	2006	2	2	2	2	2	146248.05	187946.72	334194.76	286003.31	455020.5
1761	0452100	12	3	4	3	3	3	3	3	1	3		18	2	3	045210012	6	470533.79	318681.47	789215.26	1603	PENUKAL ABAB LEMATANG ILIR	632912.28	2	11	5	0452100		5	7	3	3		3415	3	30	5			3	D	2006	2	2	2	2	2	146248.05	187946.72	334194.76	286003.31	455020.5
1764	0452200	4	1	4	3	3	3	3	3	1	3		24	4	3	045220004	7	61522.065	279453.08	340975.14	1603	MUARA ENIM	319175.97	2	11	3	0452200	4	3	7	3	3											2	3	2	0	3	139981.69	249187.79	389169.49	383853.17	-48194.346
1767	0452200	4	1	4	3	3	3	3	3	1	3		24	4	3	045220004	7	61522.065	279453.08	340975.14	1603	PENUKAL ABAB LEMATANG ILIR	319175.97	2	11	3	0452200	4	3	7	3	3											2	3	2	0	3	139981.69	249187.79	389169.49	383853.17	-48194.346
1770	0452200	5	3	1				1	3	3	3		21	1	1	045220005	7	61522.065	279453.08	340975.14	1603	MUARA ENIM	319175.97	2	11	3	0452200	5	3	7	3	3		3417	2	30	3	10	87.8			2003	1	2	2	0	2	139981.69	249187.79	389169.49	383853.17	-48194.346
1773	0452200	5	3	1				1	3	3	3		21	1	1	045220005	7	61522.065	279453.08	340975.14	1603	PENUKAL ABAB LEMATANG ILIR	319175.97	2	11	3	0452200	5	3	7	3	3		3417	2	30	3	10	87.8			2003	1	2	2	0	2	139981.69	249187.79	389169.49	383853.17	-48194.346
1776	0452200	6	3	4	3	3	3	3	3	1	3		19	1	3	045220006	7	61522.065	279453.08	340975.14	1603	MUARA ENIM	319175.97	2	11	3	0452200	6	73	6	3	3		3419	2	30	73	9	77.8			2003	2	1	1	1	1	139981.69	249187.79	389169.49	383853.17	-48194.346
1779	0452200	6	3	4	3	3	3	3	3	1	3		19	1	3	045220006	7	61522.065	279453.08	340975.14	1603	PENUKAL ABAB LEMATANG ILIR	319175.97	2	11	3	0452200	6	73	6	3	3		3419	2	30	73	9	77.8			2003	2	1	1	1	1	139981.69	249187.79	389169.49	383853.17	-48194.346
1782	0452200	7	3	1				1	3	3	3		17	1	1	045220007	7	61522.065	279453.08	340975.14	1603	MUARA ENIM	319175.97	2	11	3	0452200	7	3	6	3	3		3421	2	20	3			3	E	2004	3	1	2	0	2	139981.69	249187.79	389169.49	383853.17	-48194.346
1785	0452200	7	3	1				1	3	3	3		17	1	1	045220007	7	61522.065	279453.08	340975.14	1603	PENUKAL ABAB LEMATANG ILIR	319175.97	2	11	3	0452200	7	3	6	3	3		3421	2	20	3			3	E	2004	3	1	2	0	2	139981.69	249187.79	389169.49	383853.17	-48194.346
1788	0452300	4	3	1				1	3	3	3		19	1	3	045230004	7	117866.83	108789.91	226656.74	1603	MUARA ENIM	226656.74	2	11	3	0452300	4	5	6	3	3		3424	3	45	5	3	21.15			2007	1	1	2	4	3	88760.415	174508.24	263268.67	263268.64	-36611.928
1791	0452300	4	3	1				1	3	3	3		19	1	3	045230004	7	117866.83	108789.91	226656.74	1603	PENUKAL ABAB LEMATANG ILIR	226656.74	2	11	3	0452300	4	5	6	3	3		3424	3	45	5	3	21.15			2007	1	1	2	4	3	88760.415	174508.24	263268.67	263268.64	-36611.928
1794	0452300	5	3	4	3	3	3	3	3	1	3		17	1	1	045230005	7	117866.83	108789.91	226656.74	1603	MUARA ENIM	226656.74	2	11	3	0452300	5	3	6	3	3		3426	2	30	3			3	CE	2006	3	1	2	2	3	88760.415	174508.24	263268.67	263268.64	-36611.928
1797	0452300	5	3	4	3	3	3	3	3	1	3		17	1	1	045230005	7	117866.83	108789.91	226656.74	1603	PENUKAL ABAB LEMATANG ILIR	226656.74	2	11	3	0452300	5	3	6	3	3		3426	2	30	3			3	CE	2006	3	1	2	2	3	88760.415	174508.24	263268.67	263268.64	-36611.928
1800	0452400	7	3	3	3	3	3	3	1	3	3		15	1	3	045240007	3	317445.18	320150.9	637596.09	1603	MUARA ENIM	626999.3	2	11	3	0452400	7	5	6	1	1	3	3429	3	30	5			6			3	1	2	0	3	69141.705	131697.08	200838.77	200838.8	436757.31
1803	0452400	7	3	3	3	3	3	3	1	3	3		15	1	3	045240007	3	317445.18	320150.9	637596.09	1603	PENUKAL ABAB LEMATANG ILIR	626999.3	2	11	3	0452400	7	5	6	1	1	3	3429	3	30	5			6			3	1	2	0	3	69141.705	131697.08	200838.77	200838.8	436757.31
