name,value
Riau,-55.76
"Sumatera Barat",-54.65
"Sulawesi Selatan",-42.84
"Sulawesi Tengah",-86.48
"Nusa Tenggara Barat",-44.23
"Papua Barat",-96.4
Banten,-24.54
"Kalimantan Selatan",-34.01
"DKI Jakarta",-28.13
"Kepulauan Riau",-54.1
"Sulawesi Utara",-50.04
"Kalimantan Barat",-41.18
Gorontalo,-75.48
"Nangro Aceh Darussalam",-70.33
"Kalimantan Timur",-63.06
Lampung,-35.75
"Sumatera Selatan",-42.17
Papua,-95.88
"Kalimantan Tengah",-65.62
Maluku,-96.46
Yogyakarta,-19.64
Bali,-33.62
"Nusa Tenggara Timur",-94.01
Bengkulu,-62.95
"Sulawesi Tenggara",-91.82
"Jawa Barat",-23.74
"Jawa Tengah",-18.08
Jambi,-60.28
"Sumatera Utara",-45.04
"Bangka Belitung",-35.07
"Jawa Timur",-31.96
"Sulawesi Barat",-84.18
"Maluku Utara",-97.09
