index,level_0,Scparfundraise,Scparinkind,Scsizeinkind,Pcont,Pcont_physical,Scrapbs,Screcrapbs,Scdistrapbs,Spinviterapbs,Spparentsrapbs,Pmtgrapbs,Prapbs,data_x,parent_input,School_management,bhs_score_,data_y,math_score_,nilai_bhs_indonesia,nilai_matematika,num_student,C1,grade4_student,grade4_do,grade456_student,grade456_do,data_x,dropoutrate_4,dropoutrate,index_id3,Anak_kerja,Jarak_sekolah,Biaya_kesokla,Waktu_tempuhsekolah,Incomertperbulan,Jumlah_anggotart,incomepercap_bulan,Perankomite_baseps_score,School_cont_p_score,School_cont_sp_score,School_cont_sc_score,School_cont_tc_score,School_condi_score,year_schooling_parent_wali,Usia_ortu,data_y,biayasekolah,nss,kabupaten,kecamatan,nama_sekolah,felect,pelect,atrain,alink,agrant,treat
105_endline,11,0.0,0,2,0.0,0,0,0,0,1,0,0.333333333,1.333333333,endline,0.1,0.23809523800000001,36.81818182,endline,30.303030300000003,243,200,22,101033000000.0,20,0,63,0,endline,0.0,0.0,105,0.0,250.0,,8.333333332999999,766666.6667,4.0,191666.6667,3,2.333333333,2.0,2.833333333,3.0,2.541666667,7,38.2,endline,0.0,101000000000.0,BREBES,LOSARI,LOSARI KIDUL 03,0.0,1.0,0.0,1.0,1.0,"Grant, Election, BPD Link, Training"
106_baseline,12,0.0,0,2,0.0,0,0,0,1,0,1,0.333333333,0.0,baseline,0.1,0.333333333,28.02469136,baseline,44.56790123,227,361,27,101033000000.0,31,0,80,0,baseline,0.0,0.0,106,0.0,83.33333333,,4.333333333,400000.0,7.333333333,54545.45455,3,2.055555556,2.333333333,2.5,2.833333333,2.430555556,6,25.66666667,baseline,0.0,101000000000.0,BREBES,LOSARI,SDN LOSARILOR 03,1.0,0.0,1.0,1.0,1.0,"Grant, BPD Link, Election"
106_endline,13,700000.0,0,2,0.0,0,1,0,1,1,1,0.0,0.666666667,endline,0.100007,0.595238095,58.49462366,endline,30.75268817,544,286,31,101033000000.0,21,0,78,1,endline,0.0,0.012820513,106,0.666666667,316.6666667,,5.0,541666.6667,6.666666667,81250.0,2.333333333,2.5,2.0,2.833333333,2.166666667,2.375,5,41.83333333,endline,10000.0,101000000000.0,BREBES,LOSARI,SDN LOSARILOR 03,1.0,0.0,1.0,1.0,1.0,"Grant, BPD Link, Election"
107_baseline,14,0.0,0,2,0.0,0,0,1,1,1,1,0.0,0.333333333,baseline,0.1,0.583333333,24.05797101,baseline,46.8115942,166,323,23,101033000000.0,25,0,77,2,baseline,0.0,0.025974026,107,0.0,500.0,,15.0,290000.0,5.666666667,51176.47059,2.222222222,1.7777777780000001,2.833333333,2.833333333,2.333333333,2.444444444,6.75,42.75,baseline,0.0,101000000000.0,BREBES,LOSARI,SDN NEGLA 04,1.0,0.0,0.0,0.0,1.0,"Grant, Election"
107_endline,15,0.0,0,2,0.0,0,0,0,1,0,0,0.333333333,3.0,endline,0.1,0.297619048,36.06060606,endline,24.54545455,238,162,22,101033000000.0,23,0,76,2,endline,0.0,0.026315789,107,0.333333333,466.66666669999995,,10.0,521966.6667,5.0,104393.3333,2.888888889,3.166666667,2.0,3.0,3.0,2.791666667,5.571428571,43.2,endline,18333.33,101000000000.0,BREBES,LOSARI,SDN NEGLA 04,1.0,0.0,0.0,0.0,1.0,"Grant, Election"
108_baseline,16,0.0,0,2,0.0,0,0,0,0,0,1,0.333333333,2.333333333,baseline,0.1,0.27380952399999997,25.0,baseline,28.83333333,150,173,20,101033000000.0,22,0,65,0,baseline,0.0,0.0,108,0.333333333,240.0,,6.333333333,300000.0,5.666666667,52941.17647,#DIV/0!,1.0,2.666666667,2.833333333,2.5,2.25,2.5,20.41666667,baseline,100025.0,101000000000.0,BREBES,LOSARI,SD PENGABEAN 02,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
108_endline,17,0.0,1,4,0.0,0,1,1,1,1,1,0.0,1.6666666669999999,endline,0.4,0.773809524,43.85964912,endline,24.38596491,250,139,19,101033000000.0,21,0,60,0,endline,0.0,0.0,108,0.0,100.0,,3.0,322778.0,5.666666667,56960.823529999994,3,2.833333333,2.0,2.2,2.166666667,2.3,4.833333333,39.0,endline,10000.0,101000000000.0,BREBES,LOSARI,SD PENGABEAN 02,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
109_baseline,18,0.0,1,2,0.0,0,0,0,0,1,0,0.0,0.666666667,baseline,0.3,0.166666667,32.34567901,baseline,43.58024691,262,353,27,101033000000.0,30,0,89,0,baseline,0.0,0.0,109,0.0,18.33333333,,2.333333333,350000.0,7.333333333,47727.272730000004,2.666666667,1.7222222219999999,2.5,2.333333333,2.5,2.263888889,6,39.22222222,baseline,17500.0,101000000000.0,BREBES,LOSARI,PRAPAG KIDUL 01,0.0,1.0,1.0,1.0,1.0,"Grant, BPD Link, Training"
109_endline,19,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.666666667,endline,0.1,0.023809524,37.05128205,endline,27.69230769,289,216,26,101033000000.0,14,1,75,3,endline,0.071428571,0.04,109,0.0,133.3333333,,5.0,516666.6667,5.666666667,91176.47059,2.666666667,2.888888889,2.0,2.666666667,2.166666667,2.430555556,4,55.25,endline,28333.33,101000000000.0,BREBES,LOSARI,PRAPAG KIDUL 01,0.0,1.0,1.0,1.0,1.0,"Grant, BPD Link, Training"
10_baseline,20,0.0,1,3,0.0,0,1,0,1,0,0,0.0,0.0,baseline,0.35,0.28571428600000004,36.14583333,baseline,36.45833333,347,350,32,101033000000.0,33,0,90,0,baseline,0.0,0.0,10,0.0,206.66666669999998,,5.0,655555.5553,4.0,163888.8888,3,2.055555556,2.333333333,2.833333333,2.666666667,2.472222222,6,41.5,baseline,0.0,101000000000.0,BREBES,BANTARKAWUNG,SDN CIKUNING 01,0.0,0.0,0.0,0.0,1.0,Grant
