index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
355,0,,,10,0,0,1,1,1,3,0,2,3,,2,2,1,1,1,1,8,8,9,8,,2,1,0,0,5,,3,2,,0,0.333333333,0,2.333333333,1,0.571428571,0,0,0.285714286,0.857142857,0,0,8.25
356,0,,,13,0,1,0,1,1,2,1,2,3,2,2,1,1,1,1,0,7,7,7,7,,,0,0,0,9,,1,3,,0.185185185,1,0,2.333333333,2.333333333,0.333333333,0,0,0,0.333333333,0,,7
357,1,3,,9,0,1,1,1,1,3,1,3,3,2,2,1,1,1,1,1,7,7,9,7,,1,0,500,0,6,,,3,,0.037037037,0.666666667,0.666666667,2.666666667,3,0,0,0.666666667,0.333333333,1,0,,7.5
358,1,3,,10,0,0,0,0,1,4,0,,2,2,2,2,2,1,1,1,1,10,10,1,,2,1,0,0,6,,,4,,0,0,1,2.666666667,,0,0.666666667,0.666666667,0,1.333333333,0,0,5.5
359,1,3,2,11,0,0,1,1,1,3,0,2,3,2,2,1,1,1,1,1,8,8,8,2,,1,1,0,0,8,,3,,,0.037037037,1,0.666666667,3,2,1,1,1,0.666666667,3.666666667,2500,0,6.5
360,0,,,14,0,0,1,1,1,4,1,2,3,2,3,1,3,1,1,0,8,8,9,8,3,3,0,0,0,11,,,3,,0.037037037,0.666666667,0.333333333,2.666666667,2,0.666666667,0.666666667,0.333333333,0.333333333,2,30000,0,8.25
361,0,,,11,0,0,1,1,1,3,1,3,3,3,3,1,1,1,1,1,9,9,10,9,,1,1,0,0,6,,4,1,,0.148148148,1,0.333333333,3,1.333333333,1,0.75,0.75,0.75,3.25,0,0,9.25
362,1,3,,10,0,0,0,1,1,3,1,3,2,2,3,1,1,1,1,1,10,10,10,8,,2,0,0,0,8,,,2,,0.111111111,1,0.666666667,2.666666667,3,1,1,0.666666667,0.666666667,3.333333333,0,0,9.5
363,0,,,11,1,0,1,1,0,,0,3,3,,2,1,1,1,1,1,8,9,8,8,7,1,1,0,0,5,,,6,,0.259259259,1,0.666666667,2.333333333,2.333333333,0.666666667,1,0.666666667,0.333333333,2.666666667,70000,0,8.25
364,0,,,10,0,0,1,0,0,8,0,2,3,,3,1,1,1,1,1,9,9,10,8,,4,1,0,0,8,,,2,,0.037037037,0.333333333,1,2.666666667,2,1,1,0.666666667,0.333333333,3,0,0,9
