index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
430,0,,4,12,0,1,1,1,1,3,0,2,3,2,2,1,1,1,1,1,8,8,8,6,,1,1,0,0,7,,,5,,0.037037037,1,0,2,2.333333333,1,0,0,0,1,490000,0,7.5
431,0,,,11,0,0,1,1,1,2,1,2,3,2,2,1,1,1,1,1,9,8,9,7,,2,1,0,0,9,,,2,,0.111111111,1,0,3,4,0,0,0,0,0,0,0,8.25
432,0,,,12,0,0,0,0,0,2,0,2,2,2,2,1,1,1,1,1,8,8,8,7,,2,1,0,0,8,,,4,,0,0.666666667,0,3,1.5,0.285714286,0,0,0,0.285714286,0,0,7.75
433,0,,,13,0,0,1,1,1,3,0,3,2,2,3,1,1,1,1,1,8,9,9,8,,3,1,0,0,7,,,6,,0,0.333333333,0.333333333,3,2,1,1,0,0,2,0,0,8.5
434,1,3,,9,0,0,0,1,1,3,1,3,2,2,2,1,1,1,1,1,7,8,7,6,1,1,0,0,0,7,,,2,,0.074074074,0.666666667,0,3,1.5,1,0.285714286,0.285714286,0.285714286,1.857142857,1890000,0,7
435,0,,,13,0,0,1,1,1,3,0,8,3,2,2,1,1,1,1,1,8,8,8,8,,2,1,0,0,7,,,6,,0.148148148,1,0.333333333,3,1.333333333,1,1,0.333333333,0.333333333,2.666666667,0,0,8
436,0,,,18,0,0,1,1,1,2,1,3,2,2,3,1,1,1,1,1,9,10,9,8,,2,1,0,0,15,,,3,,0.074074074,1,0,2.666666667,1.333333333,1,1,0.333333333,0,2.333333333,0,0,9
437,0,,,12,0,0,1,1,0,2,0,8,3,2,3,1,2,1,1,0,9,9,9,7,,1,0,0,0,8,,,4,,0.111111111,1,0,2.666666667,1.333333333,0.666666667,1,0.666666667,0.333333333,2.666666667,0,0,8.5
438,0,,,11,0,0,1,1,0,3,0,2,3,2,3,1,1,1,1,1,9,8,9,6,1,1,1,0,0,5,,,6,,0.037037037,0.666666667,0,3,1,1,0.666666667,0.666666667,0.666666667,3,1200000,0,8
439,0,,,9,0,0,1,1,0,3,0,2,3,2,3,1,1,1,1,1,7,7,8,6,,1,1,0,0,7,,2,,,0.037037037,0.666666667,0.666666667,3,2,0.333333333,0,0,0,0.333333333,0,0,7
440,0,,1,12,0,0,1,1,0,2,1,4,3,2,2,1,1,1,1,1,8,9,8,8,,2,1,0,0,8,,,4,,0.074074074,0.333333333,0,3,4,1,1,1,0.333333333,3.333333333,1824000,0,8.25
441,0,,,8,0,0,1,1,1,2,1,2,2,2,2,1,1,1,1,1,10,10,10,10,6,1,1,0,0,4,,,4,,0.074074074,0.333333333,0.666666667,2.666666667,2,1,0.428571429,0.428571429,0.428571429,2.285714286,60000,0,10
442,0,,,10,1,0,1,1,0,2,0,2,1,3,3,1,2,1,1,0,10,9,10,5,,1,1,0,0,5,,,5,,0.111111111,1,0.666666667,3,3.333333333,1,0,0.285714286,0.285714286,1.571428571,0,0,8.5
443,1,2,,7,0,0,1,1,1,2,1,3,3,2,2,1,1,1,1,0,8,9,10,8,3,1,1,0,0,7,,,,,0.148148148,1,1,2.666666667,3.666666667,1,0.666666667,0.666666667,0.333333333,2.666666667,30000,0,8.75
444,1,3,6,10,1,0,0,1,0,2,0,1,3,2,4,1,1,1,1,1,7,8,9,5,,1,1,0,0,5,,,5,,0.037037037,0.333333333,1,3,3,0,0,0,0,0,6150000,0,7.25
445,0,,6,10,1,0,1,1,0,2,0,,3,3,2,1,1,1,1,1,10,10,10,10,1,2,0,0,0,8,,,2,,0.074074074,0.666666667,1,2.666666667,2.5,0.666666667,0.666666667,0.333333333,0,1.666666667,13104000,,10
446,0,,,9,0,0,1,1,1,2,1,3,3,,3,1,1,1,1,1,8,8,9,7,4,1,1,0,0,5,,,4,,0.111111111,0.666666667,0,3,3,1,0.666666667,0.333333333,0.333333333,2.333333333,4440000,0,8
447,0,,,11,1,1,1,1,0,3,0,2,2,3,2,1,1,3,3,1,8,8,8,8,,2,0,0,0,9,,,2,,0.037037037,0.666666667,1,2.5,1.5,0.714285714,0.428571429,0.285714286,0,1.428571429,0,,8
448,0,,,11,1,0,1,1,0,8,0,2,2,1,2,1,1,1,1,1,10,10,9,8,8,1,1,0,0,8,,3,,,0.074074074,1,0.666666667,2.333333333,2,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,8960000,0,9.25
449,0,,5,6,0,1,1,1,0,2,1,3,2,2,3,1,1,1,1,1,8,8,8,7,,1,1,0,0,6,,,,,0,0.333333333,0.333333333,2.333333333,2,0.375,0,0,0,0.375,50000,0,7.75
450,0,,,7,0,0,1,1,0,2,1,4,3,,2,1,1,1,1,1,9,8,8,6,6,5,0,0,0,6,,,1,,0.037037037,0.333333333,1,2.333333333,2,0.666666667,0.666666667,0.333333333,0.333333333,2,60000,0,7.75
451,0,,,10,0,0,0,1,0,,0,2,3,2,3,2,1,1,1,0,1,2,1,2,,,1,0,0,6,,,4,,0.148148148,1,0.666666667,2.333333333,1.666666667,0.714285714,0.428571429,0.714285714,0.285714286,2.142857143,0,0,1.5
452,0,,,11,0,0,1,1,0,2,0,3,3,2,2,1,1,1,1,0,10,10,10,10,1,1,1,0,0,8,,,2,,0.148148148,1,1,2.666666667,2,1,0.666666667,0.666666667,1,3.333333333,120000,0,10
453,0,,1,15,1,0,1,1,0,8,1,3,2,2,3,1,1,1,1,1,8,8,8,8,,2,1,0,0,11,,,4,,0.185185185,1,0.333333333,2.666666667,1.333333333,1,0.666666667,0.333333333,0.333333333,2.333333333,10000,0,8
454,1,3,1,11,0,0,1,1,1,3,1,1,2,3,2,1,1,1,1,1,9,9,9,9,,3,1,0,0,9,,,2,,0.111111111,1,1,3,3.333333333,0.666666667,1,0.666666667,1,3.333333333,10428000,0,9
455,0,,,12,1,0,1,1,0,3,0,3,2,2,2,1,1,1,1,1,9,9,10,10,1,1,1,0,0,9,,1,2,,0.037037037,0.333333333,0.666666667,2.666666667,3,0.571428571,0.285714286,0.285714286,0.285714286,1.428571429,120000,0,9.5
456,1,2,1,14,0,0,1,1,1,2,0,3,2,2,2,1,1,1,1,1,8,7,8,7,,2,1,0,0,9,,,5,,0.074074074,0.666666667,1,2.666666667,2,1,0.285714286,0.571428571,0,1.857142857,120000,0,7.5
457,0,,4,11,1,0,1,1,0,2,0,8,3,2,2,1,1,1,1,1,9,10,9,9,,2,1,0,0,5,,,6,,0.074074074,1,1,2.333333333,3,0.571428571,1,0.285714286,0.571428571,2.428571429,410000,0,9.25
458,0,,,11,1,1,1,1,1,3,0,,2,2,3,1,1,1,1,1,8,8,8,8,,1,1,0,0,8,,,3,,0.185185185,1,1,2.333333333,1.333333333,1,0.285714286,0,0.285714286,1.571428571,0,0,8
459,0,,,12,0,0,1,1,0,3,0,1,3,3,3,1,1,1,1,1,8,8,8,8,1,1,0,0,0,8,,,4,,0.037037037,0.666666667,0,3,2,1,0.571428571,0.285714286,0.428571429,2.285714286,11400000,0,8
460,0,,4,9,1,0,1,1,0,3,1,3,3,,3,1,1,1,1,1,,,,,,1,1,0,0,9,,,,,0.037037037,0.333333333,0,3,2,1,0.75,0.375,0,2.125,4800000,0,
461,0,,2,10,1,0,1,1,0,1,1,3,3,2,3,1,1,1,1,1,6,6,7,6,,1,1,0,0,9,,,1,,0.185185185,1,0.666666667,2.333333333,2,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,2250000,0,6.25
462,1,3,1,15,1,1,1,1,1,4,1,4,4,3,3,1,1,1,1,1,99,99,99,99,,3,1,0,0,8,,,6,,0.037037037,1,0.666666667,3,1.666666667,1,1,1,0.571428571,3.571428571,1000000,0,99
463,0,,3,11,0,0,1,1,0,2,0,2,3,3,3,1,1,1,1,1,8,8,9,9,,1,0,0,0,9,,,2,,0.111111111,0.666666667,0.666666667,3,2.5,0.666666667,0.666666667,0.333333333,0.333333333,2,380000,,8.5
464,0,,,8,0,0,1,1,0,1,0,1,2,2,2,1,1,1,1,1,5,7,9,2,,1,0,0,0,5,,,3,,0.074074074,0.333333333,0,2.666666667,1,0.666666667,0,0,0,0.666666667,0,0,5.75
465,0,,5,7,1,0,1,1,1,3,1,3,2,,3,1,1,1,1,1,,,,,,3,1,0,0,7,,,,,0.111111111,1,0.333333333,2.666666667,1.666666667,1,0.625,0.625,0.75,3,5400000,0,
466,0,,,6,1,0,1,1,0,,0,2,3,3,3,1,1,1,1,0,9,9,9,8,,4,0,0,0,6,,,,,0.148148148,1,0.333333333,2.666666667,2.333333333,0.666666667,0.333333333,0.333333333,0,1.333333333,0,0,8.75
467,0,,,9,0,0,0,1,0,2,0,2,3,3,2,1,1,1,1,0,8,9,9,5,,1,0,0,0,9,,,,,0.148148148,0.666666667,0,3,2,1,0.714285714,0.285714286,0,2,0,0,7.75
468,0,,,6,0,0,1,1,0,2,0,1,3,2,3,3,1,1,1,0,8,8,8,6,,,0,0,0,6,,,,,0,0,0,2.833333333,,1,0.4,0.6,0,2,0,,7.5
469,0,,,6,0,0,1,1,0,3,0,1,2,3,2,3,3,1,1,1,7,7,8,8,,2,1,0,0,6,,,,,0.037037037,0.666666667,0.333333333,2.5,2.5,0.714285714,0.714285714,0.285714286,0.285714286,2,0,0,7.5
470,0,,,7,0,0,1,1,0,1,0,2,2,2,2,2,2,3,3,1,10,10,10,8,,2,0,0,0,7,,,,,0,0.666666667,1,2.333333333,1.5,1,0.666666667,0.666666667,0.666666667,3,0,0,9.5
471,0,,,8,0,1,1,1,0,3,1,1,2,2,3,1,1,1,1,1,10,10,10,10,,1,0,0,0,8,,,,,0,0,0.333333333,2.5,,0,0,0,0,0,0,0,10
472,0,,,4,0,0,1,1,0,3,0,1,3,3,2,1,3,1,1,1,9,9,10,9,,3,1,0,0,4,,,,,0,0,0,2.666666667,,0,0,0,0,0,0,0,9.25
473,0,,2,8,0,0,1,1,1,3,1,3,3,2,3,1,1,1,1,1,7,8,8,7,,1,1,2000,0,6,,,2,,0.074074074,0.333333333,0.333333333,2.5,3,1,0.625,0.375,0,2,2700000,0,7.5
474,0,,,11,0,0,1,1,0,,0,,3,3,2,1,2,1,1,0,9,9,8,7,,2,1,0,0,8,,,3,,0.111111111,1,0.666666667,3,2,1,1,0.666666667,0.333333333,3,0,0,8.25
475,0,,,12,0,1,0,1,1,4,1,3,2,2,3,1,1,1,1,0,8,9,8,6,1,1,1,0,0,8,,1,3,,0.222222222,1,0,2.333333333,2.333333333,0.666666667,0,0.333333333,0,1,1000000,0,7.75
476,1,4,,11,0,0,1,1,1,3,1,2,3,2,3,1,1,1,1,1,9,9,10,8,,3,1,0,0,6,,2,3,,0.111111111,1,0.666666667,3,1.666666667,1,1,1,0,3,0,0,9
477,0,,,13,0,0,0,1,0,3,1,2,3,2,2,1,1,1,1,1,8,8,8,8,,2,1,0,0,7,,,4,,0.037037037,0.666666667,0.666666667,2.333333333,1.5,0.285714286,0,0.285714286,0.571428571,1.142857143,0,0,8
478,0,,,9,0,0,1,1,0,,0,2,2,2,2,1,1,1,1,1,9,10,10,8,,2,1,0,0,7,,1,1,,0.148148148,0.666666667,1,2,2.5,0.666666667,0.666666667,0,0,1.333333333,0,0,9.25
479,0,,,10,0,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,8,8,9,8,,3,1,0,0,7,,,3,,0.037037037,0.666666667,0.666666667,3,2.5,1,0.333333333,1,0.333333333,2.666666667,9999999998,0,8.25
480,0,,8,13,0,0,1,0,0,2,0,2,2,2,2,1,1,1,1,0,9,8,8,8,,2,1,0,0,9,,,4,,0.111111111,0.666666667,0,2.333333333,3,0.666666667,0.333333333,0,0,1,80000,0,8.25
481,0,,,9,0,0,1,1,0,2,0,8,3,2,2,1,1,1,1,1,8,9,9,7,,1,1,20000,0,6,1,,2,,0.148148148,0.666666667,0.333333333,2.333333333,2,0.666666667,0.333333333,0.666666667,0.333333333,2,0,0,8.25
482,0,,,10,0,0,0,1,0,2,0,2,2,3,2,1,1,1,1,0,7,8,8,8,,1,1,0,0,9,,,1,,0.37037037,1,0,2.666666667,4,1,1,0.666666667,1,3.666666667,0,0,7.75
483,0,,,12,0,1,1,1,1,4,1,2,4,2,2,1,1,1,1,1,10,10,10,9,,2,1,0,0,8,,,4,,0.148148148,1,0.666666667,2.666666667,3,0.666666667,0.666666667,1,0.666666667,3,0,0,9.75
484,0,,,18,1,0,0,1,0,2,0,8,3,2,2,2,1,1,1,1,6,6,6,5,,,1,0,0,12,,3,3,,0.074074074,1,0,2.333333333,2,0,0.666666667,0.333333333,0,1,0,0,5.75
485,0,,5,20,0,0,1,0,0,3,1,3,2,2,3,1,1,1,1,1,9,9,9,8,,5,1,0,0,17,,2,1,,0.222222222,0.666666667,0.333333333,2,2,0.666666667,1,0.666666667,0.333333333,2.666666667,5000,0,8.75
486,0,,,15,0,1,0,1,0,2,0,1,2,3,3,1,1,1,1,0,10,10,10,9,,1,1,0,0,11,,3,1,,0.185185185,0.666666667,0,3,2.5,0.333333333,0.666666667,0.333333333,0,1.333333333,0,0,9.75
487,0,,,10,0,0,1,0,0,2,0,1,3,1,2,1,1,1,1,1,7,7,8,7,,1,1,0,0,8,,,2,,0,1,0,2.333333333,2.666666667,0,0,0.333333333,0,0.333333333,0,0,7.25
488,1,3,,10,0,0,1,1,1,3,0,2,3,2,2,1,2,2,1,1,9,10,10,3,2,3,0,0,0,7,,,3,,0.222222222,1,0,3,2.666666667,0.666666667,0.666666667,0.333333333,0.666666667,2.333333333,200000,,8
489,0,,5,11,0,0,0,0,0,2,0,2,3,2,2,1,1,1,1,1,9,8,9,7,,2,1,0,0,9,,,2,,0.074074074,1,0,2.333333333,3,0.333333333,0.666666667,0.666666667,0,1.666666667,5000,0,8.25
490,1,3,,14,0,0,0,0,0,3,0,2,3,2,2,2,2,1,1,1,9,9,9,7,,2,1,0,0,10,,3,1,,0.259259259,1,0.333333333,2.166666667,1.666666667,0.666666667,0.666666667,1,0.666666667,3,0,0,8.5
491,0,,,17,0,0,1,1,0,2,0,2,3,3,3,1,1,1,1,1,8,8,9,8,,2,1,0,0,15,,2,,,0.037037037,0.666666667,0,2.833333333,2,0.714285714,0.714285714,1,0.285714286,2.714285714,0,0,8.25
492,0,,,11,0,0,1,1,0,3,0,1,3,2,2,1,1,1,1,1,8,7,7,6,3,2,0,0,0,10,,1,,,0.37037037,1,1,2.666666667,3.333333333,0.666666667,0.666666667,0.333333333,0.333333333,2,30000,,7
493,0,,,12,1,0,1,1,0,3,0,2,3,3,2,1,2,1,1,1,8,8,9,7,3,1,0,0,0,10,,,2,,0.037037037,0.666666667,0,2.666666667,2,0.285714286,0.285714286,0.285714286,0,0.857142857,30000,0,8
494,0,,,13,0,0,1,0,0,2,0,1,2,3,2,2,1,1,1,0,8,7,7,7,,2,0,0,0,12,1,,,,0.111111111,1,0,2.333333333,2,0.333333333,1,0.666666667,0,2,0,0,7.25
495,1,3,,13,0,0,1,1,0,3,0,2,2,3,3,1,1,1,1,1,9,8,8,6,5,3,0,0,0,8,,,5,,0.185185185,1,0.333333333,2.666666667,2.666666667,1,0.666666667,0.666666667,0.333333333,2.666666667,5000000,,7.75
496,0,,3,10,0,0,0,1,1,2,1,2,3,2,2,1,1,1,1,0,7,8,9,7,,2,1,0,0,7,,,3,,0.111111111,1,0.333333333,2.333333333,3.333333333,1,1,1,0.333333333,3.333333333,3000,0,7.75
497,1,3,,11,0,0,1,0,0,3,0,2,2,2,2,1,1,1,1,0,7,9,8,7,,3,1,0,0,9,,2,,,0.185185185,1,0,2.333333333,3.666666667,0.285714286,0.714285714,0.428571429,0.428571429,1.857142857,9999999998,0,7.75
498,0,,,10,0,0,0,0,1,3,1,3,2,2,2,1,1,1,1,1,7,7,8,7,,1,1,0,0,6,,,4,,0.111111111,1,0.333333333,2.333333333,2.333333333,0.333333333,0.333333333,1,0,1.666666667,0,0,7.25
499,0,,,13,0,1,0,1,0,2,1,2,3,2,3,1,1,1,1,1,8,9,8,8,,5,1,0,0,8,,,5,,0.037037037,1,0,3.333333333,1.666666667,0.285714286,0.285714286,0.285714286,0.285714286,1.142857143,0,0,8.25
500,0,,1,11,1,0,1,0,1,2,0,2,3,3,3,1,1,1,1,1,10,10,10,8,,2,0,0,0,8,,,3,,0.185185185,1,0.333333333,2.666666667,2.666666667,0.666666667,1,0.333333333,0.333333333,2.333333333,1000,0,9.5
501,1,3,,10,0,1,1,0,1,3,0,2,3,3,2,1,1,1,1,1,8,8,10,8,2,1,1,0,0,8,,,2,,0.074074074,1,0,2.166666667,1.666666667,0.333333333,0,0.333333333,0,0.666666667,20000,0,8.5
502,0,,,11,0,1,1,1,1,3,0,2,2,2,2,1,1,1,1,1,8,8,9,8,1,3,1,0,0,8,,2,1,,0.555555556,1,0,2.666666667,3,1,1,1,1,4,15000,0,8.25
503,1,3,3,10,0,1,1,1,0,2,1,2,3,3,2,1,2,1,1,1,8,9,9,7,,4,1,0,0,6,,,4,,0.074074074,0.666666667,0,3,2,1,0,1,0,2,3000,0,8.25
504,0,,,10,0,0,1,1,0,3,0,3,3,2,2,1,1,1,1,0,9,9,9,8,,2,1,0,0,8,,,2,,0.037037037,1,0,2.333333333,2.666666667,0.666666667,0.666666667,0.666666667,0,2,0,0,8.75
505,0,,,11,1,0,1,1,0,4,1,3,3,3,3,1,1,1,1,1,10,9,9,8,,3,1,0,0,8,,,3,,0.037037037,1,0.333333333,3,1.666666667,0.333333333,1,0,0,1.333333333,0,0,9
506,1,3,,13,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,0,8,7,8,7,,4,1,0,0,9,,,4,,0.296296296,1,0,2.333333333,2.666666667,1,1,1,1,4,0,0,7.5
507,1,3,,10,0,0,1,1,1,3,1,3,3,3,3,1,1,1,1,0,8,9,8,7,,2,1,0,0,9,,1,,,0.185185185,1,0,2.666666667,2,0.333333333,0.333333333,0.333333333,0.333333333,1.333333333,0,0,8
508,0,,,10,0,0,1,0,0,4,0,8,3,3,3,1,1,1,1,1,8,8,8,7,,1,1,0,0,8,,,2,,0.111111111,1,0,2.666666667,1.666666667,0.571428571,0.571428571,0.285714286,0,1.428571429,0,0,7.75
509,0,,,10,0,0,1,1,0,3,0,3,3,3,2,1,1,1,1,1,8,8,10,7,,2,1,0,0,6,,,4,,0.148148148,1,0,3,2.333333333,0.666666667,1,0.666666667,0,2.333333333,0,0,8.25
510,1,3,3,11,0,0,1,1,0,2,0,,3,2,3,1,1,1,1,1,7,7,8,7,5,2,1,0,0,9,,,2,,0.555555556,1,0,2.833333333,4,1,0.666666667,0.666666667,0.666666667,3,8000,0,7.25
511,0,,2,10,0,1,0,1,0,2,1,2,3,3,2,2,2,1,1,1,7,7,7,9,,,1,0,0,7,,,3,,0.222222222,1,0,2.333333333,2.333333333,1,1,0.333333333,0.666666667,3,2016000,0,7.5
512,0,,,9,0,0,1,0,1,2,1,3,3,3,3,1,3,1,1,1,10,10,9,9,1,3,1,0,0,9,,,,,0,0.333333333,0,2.333333333,1,0.333333333,0.666666667,0.666666667,0,1.666666667,100000,0,9.5
513,1,3,,9,0,0,1,1,0,3,1,2,4,2,3,1,1,1,1,0,8,8,9,7,1,4,0,0,0,7,,,2,,0.148148148,1,0,2.666666667,3.666666667,0.666666667,1,1,0.666666667,3.333333333,1060000,0,8
514,0,,,9,0,0,1,1,0,2,1,2,3,3,3,1,1,1,1,1,6,7,8,6,5,1,1,0,0,7,,,2,,0.037037037,1,0,3,1.666666667,1,1,0.666666667,0.333333333,3,50000,0,6.75
515,1,3,,12,0,0,1,0,0,3,0,2,2,2,2,1,1,1,1,0,8,7,8,8,,2,0,0,0,8,,,4,,0,0.666666667,0,2.833333333,2.5,0.571428571,1,0.285714286,0.285714286,2.142857143,0,0,7.75
516,0,,,11,0,0,1,1,0,2,0,2,3,3,3,1,1,1,1,1,9,8,10,8,,,1,0,0,7,,1,3,,0.259259259,1,0.333333333,3,2.333333333,0.333333333,0.666666667,0,0.333333333,1.333333333,0,0,8.75
517,1,3,,10,0,0,1,1,0,2,0,2,3,3,3,1,1,1,1,0,9,9,9,7,,2,0,0,0,8,,,2,,0.296296296,1,0.333333333,3,3,0.666666667,1,1,0.666666667,3.333333333,0,0,8.5
518,0,,,9,0,0,0,1,0,3,1,2,2,2,2,1,1,1,1,0,9,7,7,6,,2,1,0,0,7,,,2,,0.148148148,1,0,2.333333333,1.666666667,0.25,0.625,0.625,0,1.5,0,0,7.25
519,0,,,10,0,0,0,1,0,2,1,2,3,3,3,1,1,1,1,0,9,8,8,8,,1,1,,0,6,,,4,,0.037037037,1,0,3,2.666666667,1,1,0.333333333,0.666666667,3,0,0,8.25
520,0,,,10,0,0,1,1,0,2,1,3,3,3,2,1,1,1,1,0,7,9,9,6,,3,0,0,0,6,,1,3,,0.037037037,1,0,2.666666667,3,0,1,0,0,1,0,0,7.75
