name,value
"Sulawesi Barat",-31.57
"Maluku Utara",-0.82
"Jawa Timur",-2.18
Bali,-5.24
Yogyakarta,4.92
"Kalimantan Selatan",-14.97
Banten,-7.23
"Sumatera Barat",-19.3
Riau,-14.3
"Sumatera Utara",-14.38
"Jawa Tengah",2.76
"Jawa Barat",-8.61
"Bangka Belitung",-16.94
Jambi,-12.82
"Nusa Tenggara Barat",-21.06
"Sulawesi Selatan",4.62
"Papua Barat",0
"Sulawesi Tengah",-26.19
"Sumatera Selatan",-9.34
"Kalimantan Tengah",-12.65
Papua,-1.28
"Nangro Aceh Darussalam",-26.12
"Kalimantan Timur",-10.22
Lampung,-8.56
"Kalimantan Barat",-14.72
Gorontalo,-22.6
Maluku,-1.01
"Nusa Tenggara Timur",-30.17
"Sulawesi Tenggara",-36.56
Bengkulu,-18.01
"DKI Jakarta",-5.14
"Kepulauan Riau",-14.24
"Sulawesi Utara",-1.19
