name,value
Banten,15.78
"Kalimantan Selatan",12.7
"Sulawesi Barat",7.61
"Maluku Utara",15.35
"Jawa Barat",15.14
Jambi,13.55
"Jawa Tengah",22.1
"Sumatera Utara",13.94
"Bangka Belitung",11.83
"Sulawesi Selatan",22.27
"Nusa Tenggara Barat",8.28
"Sulawesi Tengah",3.23
"Papua Barat",15.22
"DKI Jakarta",17.19
"Sulawesi Utara",13.04
"Kepulauan Riau",10.02
Bengkulu,2.03
"Sulawesi Tenggara",4.05
"Jawa Timur",16.98
"Nusa Tenggara Timur",6.77
"Kalimantan Tengah",3.51
"Sumatera Selatan",14.84
Papua,15.81
Lampung,14.21
Riau,14.1
"Sumatera Barat",11.52
"Kalimantan Timur",8.4
"Nangro Aceh Darussalam",5.27
Maluku,17.84
Yogyakarta,22.93
Bali,18.69
"Kalimantan Barat",6.13
Gorontalo,1.6
