name,value
Lampung,11.54
"Jawa Tengah",20.14
"Jawa Barat",13.84
Jambi,14.33
"Sumatera Utara",14.84
"Bangka Belitung",12.69
"Nusa Tenggara Timur",4.83
"Kalimantan Barat",4.12
Gorontalo,0.81
Bali,23.22
Yogyakarta,23.53
Maluku,10.09
"Sumatera Barat",14.25
Riau,15.07
"Nangro Aceh Darussalam",5.8
"Kalimantan Timur",3.05
"Sumatera Selatan",15.39
"Kalimantan Tengah",2.9
Papua,12.84
"Jawa Timur",16.39
"Sulawesi Barat",4.66
"Maluku Utara",13.04
"Sulawesi Selatan",18.78
"Nusa Tenggara Barat",7.35
"Sulawesi Tengah",2.59
"Papua Barat",10.38
"Sulawesi Tenggara",2.99
Bengkulu,2.61
"DKI Jakarta",15.49
"Sulawesi Utara",10.62
"Kepulauan Riau",11.52
"Kalimantan Selatan",10.02
Banten,15.29
