name,value
"Kalimantan Barat",-20.24
Gorontalo,-1.89
Bengkulu,-9.91
"Sulawesi Tenggara",-4.21
"Sulawesi Barat",-3.69
"Sumatera Selatan",-2.9
"Kalimantan Tengah",-29.15
Papua,-14.38
Yogyakarta,-14.61
Bali,-14.5
"Sulawesi Selatan",-5.94
"Papua Barat",-10.89
"Nusa Tenggara Barat",-1.91
"Sulawesi Tengah",-12.04
"Jawa Timur",-24.52
"Kalimantan Selatan",-13.94
Banten,-15.82
"Jawa Barat",-17.51
"Jawa Tengah",-18.55
"Sumatera Utara",-2.18
Jambi,-1.02
"Bangka Belitung",-15.63
"DKI Jakarta",-17.74
"Kepulauan Riau",-10.85
"Sulawesi Utara",-11.34
"Nusa Tenggara Timur",-22.25
Lampung,-21.39
"Kalimantan Timur",-22.91
"Nangro Aceh Darussalam",-1.05
"Sumatera Barat",-3.82
Riau,0.15
"Maluku Utara",-23.65
Maluku,-22.91
