name,value
"Kalimantan Barat",-33.14
Gorontalo,-49.45
Bengkulu,-44
"Sulawesi Tenggara",-58.54
"Sulawesi Barat",-43.29
"Sumatera Selatan",-28.51
"Kalimantan Tengah",-43.82
Papua,-55
Yogyakarta,-14.52
Bali,-23.43
"Sulawesi Selatan",-29.52
"Papua Barat",-57.43
"Nusa Tenggara Barat",-45.14
"Sulawesi Tengah",-56.11
"Jawa Timur",-22.22
"Kalimantan Selatan",-27.64
Banten,-19.46
"Jawa Barat",-18.34
"Jawa Tengah",-14.9
"Sumatera Utara",-32.97
Jambi,-39.75
"Bangka Belitung",-30.44
"DKI Jakarta",-19.5
"Kepulauan Riau",-34.7
"Sulawesi Utara",-31.19
"Nusa Tenggara Timur",-58.54
Lampung,-27.82
"Kalimantan Timur",-40.3
"Nangro Aceh Darussalam",-47.17
"Sumatera Barat",-36.85
Riau,-33.26
"Maluku Utara",-55.41
Maluku,-60.37
