name,value
Riau,0.56
"Sumatera Barat",-3.55
"Kalimantan Barat",-20.85
"Sumatera Utara",-1.34
"Jawa Tengah",-17.11
"Jawa Barat",-16.15
Jambi,-1.59
"Bangka Belitung",-14.98
"Kalimantan Selatan",-12.02
Banten,-14.84
"Sumatera Selatan",-2.18
"Kalimantan Tengah",-28.02
Papua,-12.21
"Nangro Aceh Darussalam",-1.05
"Kalimantan Timur",-25.22
Lampung,-21.51
Yogyakarta,-10.82
Bali,-16.84
"Jawa Timur",-21.93
"Sulawesi Selatan",-6.02
"Nusa Tenggara Barat",-0.85
"Sulawesi Tengah",-10.71
"Sulawesi Barat",-1.79
"Sulawesi Tenggara",-3.75
Bengkulu,-7.69
"DKI Jakarta",-16.88
"Sulawesi Utara",-12.34
"Kepulauan Riau",-11.65
"Nusa Tenggara Timur",-18.6
Maluku,-22.25
"Maluku Utara",-23.36
Gorontalo,-1.89
"Papua Barat",-14.56
