name,value
Gorontalo,0.52
"Kalimantan Barat",2.1
"Kalimantan Timur",2.04
"Nangro Aceh Darussalam",2.14
"Sulawesi Barat",1.25
"Maluku Utara",0.58
"Sumatera Barat",6.12
Riau,7.08
"Sulawesi Utara",6.17
"Kepulauan Riau",4.88
"DKI Jakarta",12.06
Maluku,0.63
Bali,7.98
Yogyakarta,17.56
"Sulawesi Selatan",15.47
"Nusa Tenggara Barat",3.47
"Papua Barat",0.59
"Sulawesi Tengah",0.83
"Jawa Timur",10.05
"Sumatera Selatan",9.93
"Kalimantan Tengah",2.18
Papua,0.89
Jambi,5.91
"Sumatera Utara",8.93
"Jawa Barat",8.46
"Bangka Belitung",6.41
"Jawa Tengah",15.9
Lampung,8.72
Banten,8.67
"Kalimantan Selatan",7.47
"Nusa Tenggara Timur",0.99
Bengkulu,1.09
"Sulawesi Tenggara",0.76
