name,value
"Nusa Tenggara Timur",-2.73
Gorontalo,-13.62
"Kalimantan Barat",-15.46
"Jawa Tengah",-8.83
"Sumatera Utara",-24.04
"Jawa Barat",-19
Jambi,-14.97
"Bangka Belitung",-38.82
"Sumatera Barat",-21.51
Riau,-16.16
"Sulawesi Tenggara",-8.65
Bengkulu,-12.35
Banten,-25.08
"Kalimantan Selatan",-33.07
"DKI Jakarta",-19.49
"Sulawesi Utara",-1.95
"Kepulauan Riau",-18.46
Bali,-31.35
Yogyakarta,-8.63
Maluku,-0.42
Lampung,-12.55
"Sumatera Selatan",-16.47
Papua,-0.72
"Kalimantan Tengah",-10.7
"Nangro Aceh Darussalam",-14.79
"Kalimantan Timur",-13.45
"Sulawesi Barat",-10.52
"Maluku Utara",-0.47
"Jawa Timur",-12.93
"Nusa Tenggara Barat",-52.3
"Sulawesi Selatan",-5.56
"Sulawesi Tengah",-10.11
"Papua Barat",-0.55
