name,value
"Sumatera Selatan",-2.84
"Kalimantan Tengah",-22.92
Papua,-4.51
"Kalimantan Barat",-18.93
Gorontalo,-5.75
Yogyakarta,-6.31
Bali,-8.44
"Sulawesi Tenggara",-10.41
Bengkulu,-16.31
Banten,-11.04
"Kalimantan Selatan",-14.75
"Maluku Utara",-11.35
"Sulawesi Barat",-6.64
Riau,2.85
"Sumatera Barat",0.14
Lampung,-15.14
"Kalimantan Timur",-19.87
"Nangro Aceh Darussalam",-1.44
"DKI Jakarta",-11.51
"Kepulauan Riau",-10.27
"Sulawesi Utara",-11.33
"Nusa Tenggara Timur",-10.37
Maluku,-15.12
Jambi,-2.88
"Sumatera Utara",-0.85
"Jawa Barat",-14.11
"Jawa Tengah",-10.79
"Bangka Belitung",-10.58
"Jawa Timur",-16.04
"Sulawesi Selatan",-7.01
"Sulawesi Tengah",-15.26
"Nusa Tenggara Barat",0.7
"Papua Barat",-8.04
