name,value
"Sumatera Selatan",-3.98
"Kalimantan Tengah",-10.37
Papua,1.74
"Kalimantan Barat",-23.05
Gorontalo,-23.65
Yogyakarta,-4.07
Bali,-1.6
"Sulawesi Tenggara",0.47
Bengkulu,-20.7
Banten,-6.65
"Kalimantan Selatan",-3.45
"Maluku Utara",-1.31
"Sulawesi Barat",-7.26
Riau,-5.73
"Sumatera Barat",-6.16
Lampung,-6.65
"Kalimantan Timur",-10.76
"Nangro Aceh Darussalam",-14.11
"DKI Jakarta",-1.8
"Kepulauan Riau",-9.77
"Sulawesi Utara",-21.84
"Nusa Tenggara Timur",0.61
Maluku,1.62
Jambi,-8.16
"Sumatera Utara",0.93
"Jawa Barat",-8.48
"Jawa Tengah",-2.4
"Bangka Belitung",1.42
"Jawa Timur",0.48
"Sulawesi Selatan",0.56
"Sulawesi Tengah",-0.17
"Nusa Tenggara Barat",-1.27
"Papua Barat",0
