name,value
"Sulawesi Barat",-22.1
"Maluku Utara",4.37
"Kalimantan Barat",-10.35
Gorontalo,-26.77
Riau,-13.52
"Sumatera Barat",-19.08
"Nusa Tenggara Timur",-29.67
"Jawa Tengah",3.24
"Sumatera Utara",-15.27
"Jawa Barat",-6.72
"Bangka Belitung",-19.76
Jambi,-14.7
"Sulawesi Selatan",2.53
"Sulawesi Tengah",-32.84
"Nusa Tenggara Barat",-27.39
"Papua Barat",-6.25
"Jawa Timur",-1.22
Yogyakarta,5.56
Bali,-7.82
Maluku,3.99
"Kalimantan Timur",-13.71
"Nangro Aceh Darussalam",-25.26
Lampung,-7.6
"Sumatera Selatan",-8.46
Papua,3.12
"Kalimantan Tengah",-13.34
"DKI Jakarta",-2.67
"Kepulauan Riau",-15.43
"Sulawesi Utara",-0.67
Bengkulu,-17
"Sulawesi Tenggara",-38.26
Banten,-5.31
"Kalimantan Selatan",-16
