name,value
"Jawa Timur",-13.49
"Jawa Barat",-19.43
"Jawa Tengah",-9.38
Jambi,-15.2
"Sumatera Utara",-24.54
"Bangka Belitung",-38.8
"Sulawesi Selatan",-6.97
"Nusa Tenggara Barat",-52.62
"Papua Barat",-0.6
"Sulawesi Tengah",-10.23
"Maluku Utara",-0.38
"Sulawesi Barat",-10.98
Banten,-25.93
"Kalimantan Selatan",-33.71
"Sulawesi Tenggara",-9.1
Bengkulu,-12.2
"Sulawesi Utara",-2.06
"DKI Jakarta",-20.27
"Kepulauan Riau",-18.35
"Kalimantan Barat",-15.3
Gorontalo,-13.96
Maluku,-0.41
Bali,-31.66
Yogyakarta,-9.38
"Nusa Tenggara Timur",-2.55
Lampung,-12.56
"Sumatera Selatan",-16.71
Papua,-0.65
"Kalimantan Tengah",-9.9
Riau,-16.63
"Sumatera Barat",-22.09
"Kalimantan Timur",-13.64
"Nangro Aceh Darussalam",-14.8
