name,value
Gorontalo,-71.56
"Kalimantan Barat",-38.91
"Sumatera Barat",-52.14
Riau,-54.25
"Nusa Tenggara Timur",-92.28
"Sulawesi Barat",-83.22
"Maluku Utara",-96.65
"Jawa Timur",-28.26
Maluku,-96.33
Bali,-29.66
Yogyakarta,-17.87
Banten,-23.17
"Kalimantan Selatan",-31.6
"Kepulauan Riau",-51.76
"DKI Jakarta",-26.82
"Sulawesi Utara",-48.33
"Sulawesi Tenggara",-89.75
Bengkulu,-60.89
"Sumatera Selatan",-40.24
Papua,-95.13
"Kalimantan Tengah",-60.57
Lampung,-31.77
"Nangro Aceh Darussalam",-68.07
"Kalimantan Timur",-61.79
"Jawa Tengah",-15.58
"Jawa Barat",-22.75
"Sumatera Utara",-44.08
Jambi,-56.64
"Bangka Belitung",-32.62
"Sulawesi Selatan",-40.53
"Papua Barat",-96
"Nusa Tenggara Barat",-45.73
"Sulawesi Tengah",-83.82
