name,value
Gorontalo,-19.19
"Kalimantan Barat",-25.43
"Sumatera Barat",-6.78
Riau,-5.76
"Nusa Tenggara Timur",0.15
"Sulawesi Barat",-4.87
"Maluku Utara",-0.14
"Jawa Timur",-0.41
Maluku,0.1
Bali,-1.74
Yogyakarta,-3.74
Banten,-9.56
"Kalimantan Selatan",-3.56
"Kepulauan Riau",-9.8
"DKI Jakarta",-3.5
"Sulawesi Utara",-22.26
"Sulawesi Tenggara",0
Bengkulu,-18.81
"Sumatera Selatan",-4.77
Papua,0.14
"Kalimantan Tengah",-8.68
Lampung,-9.27
"Nangro Aceh Darussalam",-13.71
"Kalimantan Timur",-8.54
"Jawa Tengah",-2.79
"Jawa Barat",-10.98
"Sumatera Utara",-1.74
Jambi,-8.23
"Bangka Belitung",1.09
"Sulawesi Selatan",0.13
"Papua Barat",0.02
"Nusa Tenggara Barat",-1.29
"Sulawesi Tengah",-0.15
