name,value
Lampung,-15.12
"Sumatera Barat",-21.84
Riau,-17.58
"Kalimantan Barat",-20.61
Gorontalo,-37.28
Banten,-12.23
"Kalimantan Selatan",-20.51
"Sulawesi Selatan",-8.12
"Papua Barat",-6.97
"Nusa Tenggara Barat",-42.21
"Sulawesi Tengah",-40.45
"Kalimantan Timur",-25.47
"Nangro Aceh Darussalam",-34.38
"Sumatera Selatan",-14.56
Papua,-16
"Kalimantan Tengah",-21.8
Bengkulu,-23.36
"Sulawesi Tenggara",-49.29
"DKI Jakarta",-9.85
"Sulawesi Utara",-3.54
"Kepulauan Riau",-19.98
Yogyakarta,1.87
Bali,-11.56
"Nusa Tenggara Timur",-36.21
Maluku,-5.35
"Jawa Timur",-7.31
"Sulawesi Barat",-33.43
"Maluku Utara",-8.03
"Bangka Belitung",-23.29
"Jawa Barat",-12.27
"Jawa Tengah",-1.31
"Sumatera Utara",-18.51
Jambi,-15.26
