name,value
"DKI Jakarta",-18.14
"Kepulauan Riau",-7.4
"Sulawesi Utara",-13.81
Gorontalo,-1.36
"Kalimantan Barat",-16.37
"Jawa Tengah",-20.57
"Jawa Barat",-18.4
"Sumatera Utara",-0.56
Jambi,0
"Bangka Belitung",-10.76
Lampung,-21.44
Bengkulu,-6.48
"Sulawesi Tenggara",-0.87
"Jawa Timur",-25.02
Riau,1.85
"Sumatera Barat",-0.04
"Nusa Tenggara Barat",-0.37
"Sulawesi Selatan",-5.75
"Sulawesi Tengah",-4.95
"Papua Barat",-0.78
"Sumatera Selatan",-0.3
"Kalimantan Tengah",-21.04
Papua,-0.99
"Maluku Utara",-0.92
"Sulawesi Barat",-0.72
Banten,-14.15
"Kalimantan Selatan",-11.24
"Kalimantan Timur",-16.93
"Nangro Aceh Darussalam",0.04
Bali,-11.89
Yogyakarta,-10.09
Maluku,-1.87
"Nusa Tenggara Timur",-2.25
