name,value
"Sumatera Selatan",-4.16
"Kalimantan Tengah",-30.29
Papua,-12.5
Riau,5.29
"Sumatera Barat",2.94
"Kalimantan Barat",-26.97
Gorontalo,-5.45
"Jawa Timur",-7.85
"Nusa Tenggara Timur",-16.25
Yogyakarta,3.99
Bali,1.05
Maluku,-23.21
"Sulawesi Selatan",0.38
"Nusa Tenggara Barat",4.25
"Sulawesi Tengah",-24.55
"Papua Barat",-12.8
Lampung,-12.76
"Kalimantan Timur",-20.01
"Nangro Aceh Darussalam",-3.37
"Sulawesi Barat",-10.29
"Maluku Utara",-12.08
"DKI Jakarta",-6.04
"Sulawesi Utara",-9.8
"Kepulauan Riau",-6.29
Banten,-6.69
"Kalimantan Selatan",-15.61
Bengkulu,-25.08
"Sulawesi Tenggara",-17.89
"Sumatera Utara",0.64
"Jawa Barat",-8.06
"Jawa Tengah",-1.37
Jambi,-4.55
"Bangka Belitung",-9.07
