name,value
"Kalimantan Barat",-12.88
Gorontalo,-11.8
"Kalimantan Selatan",-30.08
Banten,-20.81
Riau,-15.25
"Sumatera Barat",-20.91
"Sulawesi Barat",-8.52
"Maluku Utara",-0.32
"Kepulauan Riau",-17.2
"Sulawesi Utara",-1.56
"DKI Jakarta",-15.98
Yogyakarta,-5.28
Bali,-30.82
"Nusa Tenggara Timur",-3.34
Maluku,-0.15
"Sulawesi Tenggara",-8.15
Bengkulu,-11.75
Lampung,-11.16
"Kalimantan Timur",-11.7
"Nangro Aceh Darussalam",-14.72
"Sumatera Selatan",-14.27
Papua,-0.42
"Kalimantan Tengah",-9.04
"Sumatera Utara",-22.22
"Jawa Barat",-16.64
Jambi,-13.51
"Jawa Tengah",-5.75
"Bangka Belitung",-37.18
"Jawa Timur",-10.35
"Sulawesi Selatan",-0.78
"Nusa Tenggara Barat",-46.79
"Sulawesi Tengah",-9.3
"Papua Barat",-0.33
