name,value
"Nangro Aceh Darussalam",-68.43
"Kalimantan Timur",-62.29
"Nusa Tenggara Timur",-93.06
"Kalimantan Tengah",-62.67
"Sumatera Selatan",-40.49
Papua,-94.87
Bali,-30.02
Yogyakarta,-18.29
"Sulawesi Barat",-82.9
"Maluku Utara",-96.74
"DKI Jakarta",-27.3
"Kepulauan Riau",-52.16
"Sulawesi Utara",-48.85
Banten,-23.33
"Kalimantan Selatan",-32.41
Riau,-54.25
"Sumatera Barat",-52.98
"Sulawesi Tenggara",-90.29
Bengkulu,-61.16
Lampung,-33.21
"Kalimantan Barat",-39.8
Gorontalo,-72.92
"Jawa Timur",-29.03
Maluku,-96.06
"Sumatera Utara",-43.82
"Jawa Tengah",-16.13
"Jawa Barat",-22.93
Jambi,-57.58
"Bangka Belitung",-33.23
"Sulawesi Selatan",-41.63
"Nusa Tenggara Barat",-44.95
"Sulawesi Tengah",-84.83
"Papua Barat",-94.43
