name,value
"Sulawesi Selatan",2.34
"Nusa Tenggara Barat",1.64
"Papua Barat",3.87
"Sulawesi Tengah",0.34
"Kalimantan Selatan",-3.33
Banten,-6.86
"Sulawesi Tenggara",0.37
Bengkulu,-19.37
"Sumatera Barat",-4.51
Riau,-5.87
"Kalimantan Timur",-8.37
"Nangro Aceh Darussalam",-15.44
Maluku,0.47
"Sulawesi Barat",-6.42
"Maluku Utara",-3.34
"Jawa Barat",-8.87
"Jawa Tengah",-1.29
"Sumatera Utara",-0.050000000000001
Jambi,-8.77
"Bangka Belitung",1.73
"Jawa Timur",1.7
"Nusa Tenggara Timur",0.5
"DKI Jakarta",-2.22
"Sulawesi Utara",-22.34
"Kepulauan Riau",-9.73
Lampung,-7.47
"Sumatera Selatan",-4.9
"Kalimantan Tengah",-7.04
Papua,0.69
"Kalimantan Barat",-21.49
Gorontalo,-18.38
Yogyakarta,-0.9
Bali,0.98
