name,value
Gorontalo,-20.83
"Kalimantan Barat",-18.66
"Sumatera Selatan",0.36
Papua,0.21
"Kalimantan Tengah",-6.63
"Sulawesi Selatan",3.74
"Nusa Tenggara Barat",0.31
"Sulawesi Tengah",-0.41
"Papua Barat",-1.98
Riau,-2.88
"Sumatera Barat",-3.55
"Nusa Tenggara Timur",-0.45
Maluku,-0.93
Bali,3.17
Yogyakarta,7.11
"Nangro Aceh Darussalam",-12.57
"Kalimantan Timur",-10.47
Lampung,-2.51
"Sulawesi Barat",-12.25
"Kalimantan Selatan",2.84
Banten,-1.82
"Jawa Timur",3.73
"Jawa Barat",-3.22
"Sumatera Utara",2.44
"Bangka Belitung",1.89
"Jawa Tengah",4.72
Jambi,-5.11
Bengkulu,-16.79
"Sulawesi Tenggara",-0.29
"Sulawesi Utara",-15.12
"DKI Jakarta",0.89
"Kepulauan Riau",-8.31
"Maluku Utara",-10.14
