name,value
"Maluku Utara",-53.69
"Sulawesi Barat",-52.04
"Kalimantan Barat",-28.4
Gorontalo,-51.43
"Kalimantan Timur",-41.21
"Nangro Aceh Darussalam",-47.97
"Sulawesi Utara",-30.49
"DKI Jakarta",-17.79
"Kepulauan Riau",-35.28
"Jawa Timur",-23.09
"Sulawesi Selatan",-26.09
"Nusa Tenggara Barat",-33.95
"Sulawesi Tengah",-54.77
"Papua Barat",-67.06
"Jawa Tengah",-14.29
"Sumatera Utara",-28.15
"Jawa Barat",-17.74
"Bangka Belitung",-26.28
Jambi,-34.64
Yogyakarta,-12.35
Bali,-21.55
Maluku,-53.78
Bengkulu,-39.48
"Sulawesi Tenggara",-60.6
Banten,-17.64
"Kalimantan Selatan",-24.25
"Nusa Tenggara Timur",-62.6
"Sumatera Selatan",-27.48
"Kalimantan Tengah",-44.79
Papua,-61.55
Riau,-31.21
"Sumatera Barat",-33.33
Lampung,-23.15
