name,value
"Sulawesi Selatan",-27.31
"Sulawesi Tengah",-56.02
"Nusa Tenggara Barat",-37.59
"Papua Barat",-61.7
Yogyakarta,-14.32
Bali,-22.61
"Sumatera Barat",-34.36
Riau,-33.08
Banten,-17
"Kalimantan Selatan",-22.35
"DKI Jakarta",-18.33
"Kepulauan Riau",-34.05
"Sulawesi Utara",-30.52
"Jawa Barat",-18.72
"Sumatera Utara",-30.1
"Bangka Belitung",-31.84
"Jawa Tengah",-16.22
Jambi,-35.71
"Jawa Timur",-25.08
Maluku,-50.51
"Kalimantan Barat",-30.01
Gorontalo,-52.76
"Sulawesi Barat",-52.28
"Maluku Utara",-48.97
"Kalimantan Timur",-39.5
"Nangro Aceh Darussalam",-46.34
"Sumatera Selatan",-27.45
"Kalimantan Tengah",-41.62
Papua,-61.42
"Nusa Tenggara Timur",-62.7
"Sulawesi Tenggara",-57.14
Bengkulu,-45.34
Lampung,-24.17
