name,value
Riau,1.9
"Sumatera Barat",1.45
"Kalimantan Barat",-18.65
Gorontalo,-4.94
"Sulawesi Selatan",-6.44
"Papua Barat",-4.97
"Sulawesi Tengah",-14.38
"Nusa Tenggara Barat",0.32
"Nusa Tenggara Timur",-9.92
Yogyakarta,-5.08
Bali,-8.54
Maluku,-16.21
"Sumatera Selatan",-2.09
"Kalimantan Tengah",-22.56
Papua,-6.69
Lampung,-15.23
Bengkulu,-14.41
"Sulawesi Tenggara",-8.06
"DKI Jakarta",-11.02
"Kepulauan Riau",-7.53
"Sulawesi Utara",-12.48
"Kalimantan Timur",-18.87
"Nangro Aceh Darussalam",-1.83
"Kalimantan Selatan",-15.43
Banten,-10.14
"Sulawesi Barat",-7.45
"Maluku Utara",-13.16
"Jawa Timur",-16.79
"Sumatera Utara",-1.36
"Jawa Tengah",-11.08
"Jawa Barat",-14.01
Jambi,-4.05
"Bangka Belitung",-9.7
