name,value
"DKI Jakarta",-18.19
"Sulawesi Utara",-12.06
"Kepulauan Riau",-7.47
"Kalimantan Barat",-16.05
Gorontalo,-1.08
"Sumatera Selatan",-0.89
Papua,-1.06
"Kalimantan Tengah",-21.65
"Sulawesi Barat",-0.89
"Maluku Utara",-1.12
Yogyakarta,-11.62
Bali,-12.63
"Jawa Timur",-26.39
"Nusa Tenggara Barat",-0.71
"Sulawesi Selatan",-5.89
"Papua Barat",-0.74
"Sulawesi Tengah",-5.06
"Nusa Tenggara Timur",-2.6
Maluku,-1.81
"Kalimantan Selatan",-10.93
Banten,-15.68
"Sulawesi Tenggara",-0.72
Bengkulu,-5.46
Riau,1.32
"Sumatera Barat",-1.18
Lampung,-21.34
"Jawa Tengah",-22.06
"Jawa Barat",-19.47
"Sumatera Utara",-1.1
Jambi,0
"Bangka Belitung",-10.59
"Kalimantan Timur",-16.12
"Nangro Aceh Darussalam",-0.2
