name,value
"Kalimantan Barat",-10.86
Gorontalo,-25.98
Riau,-1.48
"Sumatera Barat",-2.49
"Sulawesi Tenggara",0.08
Bengkulu,-12.84
"Sulawesi Barat",-10.13
"Maluku Utara",1.31
Maluku,2.09
Bali,10.3
Yogyakarta,11.5
"Sumatera Selatan",3.95
"Kalimantan Tengah",-9.41
Papua,4.94
Lampung,2.02
"Nangro Aceh Darussalam",-19.1
"Kalimantan Timur",-5.56
"DKI Jakarta",3.98
"Kepulauan Riau",-4.6
"Sulawesi Utara",-8.26
"Sulawesi Selatan",8.15
"Papua Barat",2.25
"Nusa Tenggara Barat",-0.83
"Sulawesi Tengah",-0.17
"Nusa Tenggara Timur",2.29
Banten,0
"Kalimantan Selatan",5.76
"Jawa Timur",5.6
"Jawa Barat",1.31
"Sumatera Utara",-3.33
"Jawa Tengah",10.57
Jambi,-3.09
"Bangka Belitung",6.44
