name,value
"Nusa Tenggara Timur",-2.86
"Kalimantan Selatan",-32.55
Banten,-24.38
"Kalimantan Barat",-15.43
Gorontalo,-12.96
Lampung,-12.36
"Maluku Utara",-0.5
"Sulawesi Barat",-10.53
"Sulawesi Tenggara",-8.05
Bengkulu,-12.1
"DKI Jakarta",-18.91
"Kepulauan Riau",-19.14
"Sulawesi Utara",-2.09
Maluku,-0.3
"Kalimantan Timur",-12.47
"Nangro Aceh Darussalam",-14.82
"Sumatera Selatan",-15.83
Papua,-0.61
"Kalimantan Tengah",-10.08
"Jawa Timur",-12.72
"Sumatera Barat",-21.11
Riau,-15.49
Jambi,-14.09
"Jawa Barat",-18.43
"Jawa Tengah",-8.68
"Sumatera Utara",-23.45
"Bangka Belitung",-38.4
Bali,-31.82
Yogyakarta,-7.97
"Sulawesi Selatan",-4.17
"Nusa Tenggara Barat",-50.89
"Papua Barat",-0.49
"Sulawesi Tengah",-9.37
