name,value
"Sulawesi Barat",-1.69
"Sumatera Selatan",-0.059999999999999
"Kalimantan Tengah",-24.23
Papua,-5.89
"Kalimantan Selatan",-9.48
Banten,-9.26
"Jawa Timur",-15.7
"Nusa Tenggara Barat",1.48
"Sulawesi Selatan",-4.13
"Sulawesi Tengah",-10.5
"Papua Barat",-9.19
"Sumatera Barat",2.14
Riau,2.93
"Kalimantan Timur",-15.32
"Nangro Aceh Darussalam",-0.29
Lampung,-20.13
"Jawa Barat",-11.6
"Jawa Tengah",-9.85
"Sumatera Utara",1.26
"Bangka Belitung",-6.86
Jambi,-1.54
"Nusa Tenggara Timur",-12.03
"DKI Jakarta",-10.76
"Kepulauan Riau",-6.85
"Sulawesi Utara",-9.42
"Sulawesi Tenggara",-3.23
Bengkulu,-11.76
Maluku,-11.52
Yogyakarta,-3.75
Bali,-7.45
"Kalimantan Barat",-16.05
Gorontalo,-4.12
"Maluku Utara",-16.39
