name,value
Gorontalo,-31.88
"Kalimantan Barat",-16.8
Banten,0.37
"Kalimantan Selatan",1.11
"Jawa Timur",7.47
"Sumatera Barat",2.28
Riau,-1.58
"Nangro Aceh Darussalam",-14.52
"Kalimantan Timur",-6.03
Maluku,1.28
Bengkulu,-16.23
"Sulawesi Tenggara",0.62
Bali,9.57
Yogyakarta,9.63
"Nusa Tenggara Timur",2.02
"Kepulauan Riau",-4.3
"DKI Jakarta",2.96
"Sulawesi Utara",-13.12
"Sulawesi Selatan",8.02
"Nusa Tenggara Barat",1.34
"Papua Barat",-0.92
"Sulawesi Tengah",0.33
"Sulawesi Barat",-8.79
"Maluku Utara",-6.7
"Jawa Barat",-1.36
"Sumatera Utara",5.54
"Jawa Tengah",8.68
Jambi,-0.39
"Bangka Belitung",5.59
"Sumatera Selatan",1.91
Papua,3.38
"Kalimantan Tengah",-6.23
Lampung,0.23
