name,value
"Sumatera Barat",0.68
Riau,2.44
"Sulawesi Barat",-2.77
"Maluku Utara",-0.73
Gorontalo,-4.16
"Kalimantan Barat",-22.59
Banten,-12.89
"Kalimantan Selatan",-12.74
Lampung,-18.31
"Nangro Aceh Darussalam",-1.45
"Kalimantan Timur",-16.64
"Kalimantan Tengah",-24.52
Papua,-0.65
"Sumatera Selatan",-3.68
"Nusa Tenggara Timur",-2.51
"Sulawesi Tenggara",-3.97
Bengkulu,-13.45
"Sulawesi Selatan",-1.48
"Nusa Tenggara Barat",0.63
"Papua Barat",-0.3
"Sulawesi Tengah",-8.85
"Kepulauan Riau",-7.2
"Sulawesi Utara",-11.2
"DKI Jakarta",-10.77
"Jawa Timur",-22.25
Maluku,-1.2
"Sumatera Utara",0.73
Jambi,-2.21
"Jawa Barat",-20.02
"Jawa Tengah",-12.54
"Bangka Belitung",-9.38
Yogyakarta,-3.52
Bali,-7.81
