name,value
"Sumatera Barat",-4.92
Riau,-5.52
"Maluku Utara",-3.57
"Sulawesi Barat",-7.75
"Nusa Tenggara Timur",0.43
"Kalimantan Barat",-21.96
Gorontalo,-18.38
Yogyakarta,-4.99
Bali,-1.81
"Kalimantan Timur",-8.55
"Nangro Aceh Darussalam",-14.71
"Sumatera Selatan",-5.4
Papua,-0.9
"Kalimantan Tengah",-6.99
Maluku,0.47
Lampung,-7.81
"Sulawesi Tenggara",0.47
Bengkulu,-17.32
"Kalimantan Selatan",-4.07
Banten,-8.92
"Sulawesi Selatan",0.74
"Nusa Tenggara Barat",1.36
"Papua Barat",-0.6
"Sulawesi Tengah",-0.43
"Kepulauan Riau",-8.62
"DKI Jakarta",-3.83
"Sulawesi Utara",-24.17
"Jawa Timur",0.5
"Sumatera Utara",0.4
"Jawa Barat",-10.34
"Jawa Tengah",-3.6
"Bangka Belitung",1.43
Jambi,-7.99
