name,value
"Sumatera Barat",-20.3
Riau,-16.17
"Maluku Utara",-3.97
"Sulawesi Barat",-23.09
"Nusa Tenggara Timur",-13.4
"Kalimantan Barat",-18.55
Gorontalo,-17.08
Yogyakarta,-7.46
Bali,-23.53
"Kalimantan Timur",-15.46
"Nangro Aceh Darussalam",-18.95
"Sumatera Selatan",-15.04
Papua,-7.4
"Kalimantan Tengah",-11.67
Maluku,-0.94
Lampung,-12.66
"Sulawesi Tenggara",-15.67
Bengkulu,-15.63
"Kalimantan Selatan",-27.48
Banten,-22.43
"Sulawesi Selatan",-2.77
"Nusa Tenggara Barat",-41.87
"Papua Barat",-4.47
"Sulawesi Tengah",-18.27
"Kepulauan Riau",-16.92
"DKI Jakarta",-15.71
"Sulawesi Utara",-1.24
"Jawa Timur",-12.47
"Sumatera Utara",-19.8
"Jawa Barat",-16.58
"Jawa Tengah",-7.5
"Bangka Belitung",-25.55
Jambi,-15.53
