name,value
Banten,-11.11
"Kalimantan Selatan",-17.16
"Sumatera Barat",-15.15
Riau,-16.15
"Kalimantan Barat",-22.08
Gorontalo,-27.37
"Sulawesi Selatan",-5.26
"Nusa Tenggara Barat",-30.84
"Sulawesi Tengah",-32.67
"Papua Barat",-8.75
Bengkulu,-29.29
"Sulawesi Tenggara",-27.74
"DKI Jakarta",-11.42
"Kepulauan Riau",-23.75
"Sulawesi Utara",-23.89
"Nusa Tenggara Timur",-21.58
Lampung,-14.95
"Sumatera Selatan",-11.36
Papua,-7.56
"Kalimantan Tengah",-33.33
"Nangro Aceh Darussalam",-26.24
"Kalimantan Timur",-30.56
Bali,-7.06
Yogyakarta,-1.54
Maluku,-23.1
"Maluku Utara",-12.35
"Sulawesi Barat",-33.03
"Jawa Timur",-12.76
"Jawa Barat",-12.43
"Sumatera Utara",-13.41
"Jawa Tengah",-5.39
Jambi,-12.83
"Bangka Belitung",-14.03
