name,value
Bali,-4.46
Yogyakarta,-8.19
"Sulawesi Selatan",-5.87
"Nusa Tenggara Barat",-1.12
"Sulawesi Tengah",-0.77
"Papua Barat",0.62
"Jawa Timur",-4.02
Lampung,-12.28
Riau,-12.37
"Sumatera Barat",-11.66
"Sumatera Selatan",-11.85
"Kalimantan Tengah",-9.25
Papua,-0.86
"Nusa Tenggara Timur",-2.2
"Sulawesi Barat",-12.94
"Jawa Barat",-14.15
"Jawa Tengah",-8.24
"Sumatera Utara",-4.71
Jambi,-15.5
"Bangka Belitung",-2.79
"Kalimantan Barat",-25.18
"Nangro Aceh Darussalam",-18.8
"Kalimantan Timur",-12.11
Banten,-10.41
"Kalimantan Selatan",-5.4
"DKI Jakarta",-4.73
"Kepulauan Riau",-13.09
"Sulawesi Utara",-27.04
"Sulawesi Tenggara",-0.77
Bengkulu,-25.13
Maluku,-5.16
Gorontalo,-17.23
"Maluku Utara",-9.88
