name,value
"Sulawesi Barat",-22.57
"Maluku Utara",-11.67
Riau,-16.9
"Sumatera Barat",-15.73
"Sulawesi Selatan",-3.56
"Nusa Tenggara Barat",-30.75
"Sulawesi Tengah",-25.25
"Papua Barat",-14.08
Banten,-10.46
"Kalimantan Selatan",-16.84
Yogyakarta,-6.44
Bali,-13.59
"Kalimantan Barat",-18.19
Gorontalo,-26.08
Lampung,-11.06
Maluku,-17.33
"Kalimantan Timur",-23.49
"Nangro Aceh Darussalam",-25.6
Papua,-9.95
"Sumatera Selatan",-10.16
"Kalimantan Tengah",-22.51
"Jawa Timur",-13.51
"Jawa Tengah",-5.84
Jambi,-13.46
"Sumatera Utara",-14.34
"Jawa Barat",-12.86
"Bangka Belitung",-15.49
"Nusa Tenggara Timur",-21.27
"Sulawesi Utara",-18.93
"DKI Jakarta",-10.5
"Kepulauan Riau",-21.19
Bengkulu,-27.75
"Sulawesi Tenggara",-20.78
