name,value
Riau,-7.25
"Sumatera Barat",-5.92
"DKI Jakarta",-4.87
"Kepulauan Riau",-9.76
"Sulawesi Utara",-23.63
"Kalimantan Barat",-21.97
Gorontalo,-20.98
"Sulawesi Barat",-11.52
"Maluku Utara",-3.86
"Nangro Aceh Darussalam",-15.58
"Kalimantan Timur",-7.61
"Sumatera Selatan",-7.66
Papua,-1.01
"Kalimantan Tengah",-6.83
Lampung,-9.64
"Nusa Tenggara Timur",-0.65
Maluku,0.23
Bengkulu,-19.4
"Sulawesi Tenggara",-0.13
Banten,-10.66
"Kalimantan Selatan",-4.11
Yogyakarta,-5.16
Bali,-1.02
"Sulawesi Selatan",-1.92
"Sulawesi Tengah",0.28
"Nusa Tenggara Barat",1.16
"Papua Barat",0
"Jawa Timur",-0.33
"Jawa Tengah",-5.4
"Sumatera Utara",0.16
"Jawa Barat",-11.97
Jambi,-10.74
"Bangka Belitung",0.23
